canonical_smiles,selfies,logThalf
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,[C][C][C][N][Branch1][Ring2][C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2],0.7708520116421442
C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C,[C][C@@H1][Branch2][Ring1][=Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=C][N][Branch1][C][C][C],1.146128035678238
CNC[C@H](O)c1cccc(O)c1,[C][N][C][C@H1][Branch1][C][O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],0.1303337684950061
CC[N+](C)(C)c1cccc(O)c1,[C][C][N+1][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],0.255272505103306
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,[C][N][Branch2][Ring1][=Branch1][C][C][=C][N][=C][N][=C][Branch1][C][N][N][=C][Branch1][C][N][C][Ring1][Branch2][=N][Ring1][N][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][C][=C][Ring2][Ring1][C],0.8750612633917001
Nc1nc(=O)c2c([nH]1)NC[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O,[N][C][=N][C][=Branch1][C][=O][C][=C][Branch1][Ring2][NH1][Ring1][#Branch1][N][C][C@@H1][Branch2][Ring2][Ring1][C][N][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][C][=C][Ring2][Ring1][C][N][Ring2][Ring1][O][C][=O],0.1139433523068367
C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,[C][N+1][Branch1][C][C][C][C][C][=Branch2][Ring1][Ring2][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2],0.921686475483602
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,[C][C@][C][C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][C][C@@H1][C@@H1][Ring1][O][C@@H1][Branch1][C][O][C][C@@][Branch1][C][C][C@H1][Ring1][Branch2][C][C][C@][Ring1][=Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O],0.2041199826559248
NNc1nncc2ccccc12,[N][N][C][=N][N][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],0.0
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C@H1][C@@H1][Branch1][C][O][C][=C][C@H1][C@@H1][Branch1][Ring2][C][Ring1][N][N][Branch1][C][C][C][C][C@@][Ring1][S][Ring1][Branch2][Ring1][=N],0.4623979978989561
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,[C][C][C][C][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][C][=O],1.8976270912904407
NNC(=O)c1ccncc1,[N][N][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1],0.4471580313422192
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O][C][C][N+1][Branch1][C][C][Branch1][C][C][C],-1.154901959985743
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,[C][C][C][=N][C][Branch1][C][N][=N][C][Branch1][C][N][=C][Ring1][Branch2][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],2.0
CCN(CC)CCOC(=O)c1ccc(N)cc1,[C][C][N][Branch1][Ring1][C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],-0.8927900303521317
C[C@H](COc1ccccc1)N(CCCl)Cc1ccccc1,[C][C@H1][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][Ring2][C][C][Cl][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1.380211241711606
C[C@@H](COc1ccccc1)N(CCCl)Cc1ccccc1,[C][C@@H1][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][Ring2][C][C][Cl][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1.380211241711606
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,[C][N][C][C][C@][C][C][C][C][C@H1][Ring1][=Branch1][C@H1][Ring1][#Branch2][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][Ring1][#C],1.130333768495006
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,[C][C][Branch1][C][C][N+1][Branch1][C][C][Branch2][Ring1][N][C][C][O][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=C][C][Branch1][C][C][C],0.2041199826559248
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,[O][=C][N][C][=Branch1][C][=O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][C],1.3424226808222062
CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1,[C][N][Branch1][C][C][C][C][O][C@@H1][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1],1.230448921378274
CN1C(=O)C[C@@H](c2ccccc2)C1=O,[C][N][C][=Branch1][C][=O][C][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N][=O],0.8920946026904804
CC(=O)Nc1nnc(S(N)(=O)=O)s1,[C][C][=Branch1][C][=O][N][C][=N][N][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][S][Ring1][=Branch2],0.5440680443502757
